claim_id,proposed_claim,closest_prior_art,convention_check,publication_status,verdict,notes
N1,Undecidability of M_4(4) over integer matrices; at most four generators; nonempty products; full zero matrix,"CHHN 2014 proves M_5(4), not M_4(4)",Integer; at most k; X+; full zero,arXiv v3 / standard later-cited bound,no prior art found,No exact numerical match located through 2026-07-22
N2,Undecidability of structured Z_4(3): three 4x4 integer generators sharing first column e1; nonempty product; scalar zero,CHHN Theorems 6-7 give common-column structured Z_5(3),Integer; at most three; X+; scalar/corner zero; common column,arXiv v3,no prior art found,Closest source stops at dimension five
M1,"After a unimodular basis change, each pair R_i,D_i agrees on a common 2D invariant upper-word plane E",Triangular PCP encodings; CHHN common-coordinate and invariant-space constructions,Related invariant coordinates; no exact pairwise agreement theorem,Mixed refereed/preprint,related prior art,No exact two-plane result found
M2,"Paired-role compression on V direct-sum V with phase toggle, quotient by anti-diagonal E, dimension 2d-dim(E)",Standard pushout/amalgamated sum; CHHN invariant-space compression,Generic finite-dimensional linear algebra,Standard textbook theory / CHHN preprint,related prior art,Abstract quotient is old; application not located
M3,Arbitrary three-letter word decodes by suffix parity to a four-role word; decoder is surjective,CHHN cyclic phase coding; Rote 2025 prefix-code total decoding,"Different code, direction, and matrix setting",CHHN preprint; Rote refereed proceedings,related prior art,No suffix-parity construction found
M4,Compressed generators share first column e1,CHHN structured common-column family; Rote common first row,Same structural theme; wrong dimension/count or row orientation,Preprint / refereed proceedings,related prior art,Restriction itself is not novel
S1,One nonzero rank-one separator P=CL converts scalar zero to mortality,HHH 2007 Theorem 10; CHHN 2014 Proposition 4,Integer/rational matrices; one extra generator; nonempty products,Peer-reviewed journal / arXiv,exact prior art,General separator algebra is established
S2,Common fixed column replaces nonsingularity in the arbitrary-product separator converse,HHH scalar-factor argument; CHHN outer-product compiler,"Existing sources use endpoint structure, nonsingularity, or other nonvanishing arguments",Peer-reviewed / arXiv,no prior art found,No exact common-column substitute located
H1,Nonzero 6x6 Hankel minor excludes every exact five-state weighted-automaton realization,Schützenberger; Carlyle-Paz; Fliess; Berstel-Reutenauer,Field-valued exact coefficient series,Classical peer-reviewed literature and monographs,exact prior art,Minimal exact realization dimension equals Hankel rank
H2,All-placement Hankel-rank-six certificate for scalar series of standard CHHN 6x6 packing,General Hankel minimization only,Exact CHHN packed series; every separator placement,No matching source,no prior art found,No minor or uniform rank computation located
H3,"Certificate rules out exact series realization, not merely a representation with the same zero set",Weighted-series equivalence/minimization literature,Exact coefficient equality versus support/zero-language equality,Classical,exact prior art,Important scope limitation
F1,Phase fusion forces 1D overlap or rank-one punctuation onto a one-sided word plane,"Phase/alphabet reductions in CHHN, Cassaigne-Karhumaki, Halava-Hirvensalo, Rote",No necessity/forcing theorem,Mixed,no prior art found,No exact obstruction located
F2,Affine positional-value zero language is effectively regular,Bruyere et al.; Wolper-Boigelot; Boigelot-Rassart-Wolper; Klaedtke,Fixed-base Presburger/linear digit relations,Peer-reviewed journal/proceedings,exact prior art,Conditional on first obtaining the stated affine Presburger form
